,Vechile Type,Number Plate Text,Color,Brand
0,Car 100.00 %,,Not Sure,LEXUS (0.66)
1,Car 100.00 %,,Not Sure,LEXUS (0.55)
2,Car 100.00 %,,Not Sure,LEXUS (0.41)
3,Car 100.00 %,,Not Sure,LEXUS (0.65)
4,Car 100.00 %,,Not Sure,LEXUS (0.71)
5,Car 100.00 %,,Not Sure,LEXUS (0.86)
6,Car 100.00 %,,Not Sure,LEXUS (0.68)
7,Car 100.00 %,,Not Sure,LEXUS (0.71)
8,Car 100.00 %,,Not Sure,LEXUS (0.65)
9,Car 100.00 %,,Not Sure,LEXUS (0.56)
10,Car 100.00 %,,Not Sure,LEXUS (0.58)
11,Car 100.00 %,,Not Sure,LEXUS (0.63)
12,Car 100.00 %,,Not Sure,LEXUS (0.83)
13,Car 100.00 %,,Not Sure,LEXUS (0.88)
14,Car 100.00 %,,Not Sure,LEXUS (0.69)
15,Car 100.00 %,,Not Sure,LEXUS (0.55)
16,Car 100.00 %,,Not Sure,LEXUS (0.71)
17,Car 100.00 %,,Not Sure,LEXUS (0.58)
18,Car 100.00 %,,Not Sure,LEXUS (0.66)
19,Car 100.00 %,,Not Sure,LEXUS (0.72)
20,Car 100.00 %,,Not Sure,LEXUS (0.85)
21,Car 100.00 %,,Not Sure,LEXUS (0.9)
22,Car 100.00 %,,Not Sure,LEXUS (0.85)
23,Car 100.00 %,,Not Sure,LEXUS (0.76)
24,Car 100.00 %,,Not Sure,LEXUS (0.9)
25,Car 100.00 %,,Not Sure,LEXUS (0.81)
26,Car 100.00 %,,Not Sure,LEXUS (0.68)
27,Car 100.00 %,,Not Sure,LEXUS (0.7)
28,Car 100.00 %,,Not Sure,LEXUS (0.81)
29,Car 100.00 %,,Not Sure,LEXUS (0.59)
30,Car 100.00 %,,Not Sure,LEXUS (0.57)
31,Car 100.00 %,,Not Sure,LEXUS (0.57)
32,Car 100.00 %,,Not Sure,LEXUS (0.8)
33,Car 100.00 %,,Not Sure,LEXUS (0.82)
34,Car 100.00 %,,Not Sure,LEXUS (0.59)
35,Car 100.00 %,,Not Sure,LEXUS (0.5)
36,Car 100.00 %,,Not Sure,LEXUS (0.54)
37,Car 100.00 %,,Not Sure,LEXUS (0.22)
38,Car 100.00 %,,Not Sure,LEXUS (0.34)
39,Car 100.00 %,,Not Sure,LEXUS (0.29)
40,Car 100.00 %,,Not Sure,
41,Car 100.00 %,,Not Sure,
42,Car 100.00 %,,Not Sure,
43,Car 100.00 %,,Not Sure,
44,Car 100.00 %,,Not Sure,LEXUS (0.28)
45,Car 100.00 %,,Not Sure,
46,Car 100.00 %,,Not Sure,LEXUS (0.51)
47,Car 100.00 %,,Not Sure,LEXUS (0.48)
48,Car 100.00 %,,Not Sure,LEXUS (0.31)
49,Car 100.00 %,,Not Sure,LEXUS (0.54)
50,Car 100.00 %,,Not Sure,LEXUS (0.27)
51,Car 100.00 %,,Not Sure,LEXUS (0.32)
52,Car 100.00 %,,Not Sure,
53,Car 100.00 %,,Not Sure,LEXUS (0.29)
54,Car 100.00 %,,Not Sure,LEXUS (0.41)
55,Car 100.00 %,,Not Sure,LEXUS (0.42)
56,Car 100.00 %,,Not Sure,LEXUS (0.33)
57,Car 100.00 %,,Not Sure,LEXUS (0.26)
58,Car 100.00 %,,Not Sure,LEXUS (0.38)
59,Car 100.00 %,,Not Sure,LEXUS (0.28)
60,Car 100.00 %,,Not Sure,LEXUS (0.54)
61,Car 100.00 %,,Not Sure,LEXUS (0.39)
62,Car 100.00 %,,Not Sure,LEXUS (0.49)
63,Car 100.00 %,,Not Sure,LEXUS (0.42)
64,Car 100.00 %,,Not Sure,HONDA (0.36)
65,Car 100.00 %,,Not Sure,LEXUS (0.33)
66,Car 100.00 %,,Not Sure,LEXUS (0.65)
67,Car 100.00 %,,Not Sure,LEXUS (0.79)
68,Car 100.00 %,,Not Sure,LEXUS (0.22)
69,Car 100.00 %,,Not Sure,LEXUS (0.43)
70,Car 100.00 %,,Not Sure,
71,Car 100.00 %,,Not Sure,HONDA (0.24)
72,Car 100.00 %,,Not Sure,LEXUS (0.58)
73,Car 100.00 %,,Not Sure,LEXUS (0.46)
74,Car 100.00 %,,Not Sure,LEXUS (0.32)
75,Car 100.00 %,,Not Sure,LEXUS (0.73)
76,Car 100.00 %,,Not Sure,LEXUS (0.69)
77,Car 100.00 %,,Not Sure,LEXUS (0.57)
78,Car 100.00 %,,Not Sure,LEXUS (0.31)
79,Car 100.00 %,,Not Sure,LEXUS (0.42)
80,Car 100.00 %,,Not Sure,LEXUS (0.72)
81,Car 100.00 %,,Not Sure,LEXUS (0.9)
82,Car 100.00 %,,Not Sure,LEXUS (0.45)
83,Car 100.00 %,,Not Sure,LEXUS (0.44)
84,Car 100.00 %,,Not Sure,LEXUS (0.45)
85,Car 100.00 %,,Not Sure,LEXUS (0.34)
86,Car 100.00 %,,Not Sure,LEXUS (0.33)
87,Car 100.00 %,,Not Sure,LEXUS (0.62)
88,Car 100.00 %,,Not Sure,LEXUS (0.64)
89,Car 100.00 %,,Not Sure,
90,Car 100.00 %,,Not Sure,LEXUS (0.4)
91,Car 100.00 %,,Not Sure,LEXUS (0.63)
92,Car 100.00 %,,Not Sure,LEXUS (0.42)
93,Car 100.00 %,,Not Sure,LEXUS (0.43)
94,Car 100.00 %,,Not Sure,
95,Car 100.00 %,,Not Sure,LEXUS (0.6)
96,Car 100.00 %,,Not Sure,LEXUS (0.81)
97,Car 100.00 %,,Not Sure,LEXUS (0.77)
98,Car 100.00 %,,Not Sure,LEXUS (0.7)
99,Car 100.00 %,,Not Sure,LEXUS (0.97)
100,Car 100.00 %,,Not Sure,LEXUS (0.92)
